CaseNum,RYCohort,donatesum,SpouseAlum,SportsAlum,UGAlumAwards,OtherUGAct,EverAssigned,BoardMember,ChildAlum,ParentAlum,SiblingAlum,GradDegree,TotalReunions,OnePlusEvents,Years Lapsed
1,1969,0,0,1,0,0,0,0,0,0,0,0,0,0,48
2,1964,0,0,0,0,0,0,0,0,0,0,0,0,0,32
3,1964,0,0,0,0,0,0,0,0,0,0,0,0,0,48
4,1964,1,0,0,0,0,1,0,0,0,0,0,2,1,4
5,1959,0,0,0,0,0,0,0,0,0,0,0,0,0,20
6,1959,0,0,0,0,0,0,0,0,0,0,0,0,0,48
7,1969,0,0,0,0,0,0,0,0,0,0,0,0,0,48
8,1959,0,0,0,1,0,0,0,1,0,0,0,1,1,22
9,1969,0,0,0,0,0,0,0,0,0,0,0,0,0,48
10,1964,0,0,0,0,0,0,0,0,0,0,0,0,0,48
11,1954,1,0,0,0,0,0,0,0,0,0,0,0,0,48
12,1969,0,0,0,0,0,0,0,0,0,1,0,0,0,20
13,1954,1,0,0,0,0,0,0,0,0,0,0,8,0,47
14,1969,0,1,0,0,0,0,1,0,0,0,0,0,1,24
15,1969,0,1,0,0,1,0,0,0,0,0,0,0,0,35
16,1969,0,0,0,0,0,0,0,0,0,0,0,0,1,48
17,1964,0,0,0,0,0,0,0,0,0,0,0,0,0,48
18,1969,0,0,0,0,0,0,0,0,0,0,0,0,0,48
19,1964,0,0,0,0,0,0,0,0,0,0,0,0,0,48
20,1969,0,0,0,0,0,0,0,0,0,0,0,0,0,48
21,1969,0,0,0,1,0,0,0,0,0,0,0,0,0,48
22,1954,1,0,0,0,0,0,0,0,0,0,0,0,0,1
23,1969,0,0,0,0,1,0,0,0,0,0,0,0,1,48
24,1964,0,0,0,1,1,0,0,0,0,1,0,0,1,20
25,1969,0,0,1,0,0,0,0,0,0,0,0,0,0,48
26,1969,0,1,0,0,0,0,0,1,0,0,0,1,0,23
27,1959,2,0,1,0,1,0,1,0,0,0,0,5,1,3
28,1964,0,0,1,0,0,0,0,0,0,0,0,0,0,20
29,1969,0,0,0,0,0,0,0,0,0,0,0,0,0,48
30,1964,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,1969,0,0,0,0,1,0,0,0,0,0,0,0,0,25
32,1954,1,0,0,0,0,0,0,0,0,0,0,0,0,48
33,1969,1,0,0,0,0,0,0,0,0,0,0,0,0,8
34,1969,1,0,0,0,1,0,0,0,0,0,0,0,1,6
35,1969,0,1,0,0,1,0,0,0,0,0,0,5,1,2
36,1969,0,0,0,0,0,0,0,0,0,0,0,0,0,48
37,1969,0,1,0,0,1,0,0,0,0,0,1,0,0,48
38,1959,1,0,0,0,0,0,0,0,0,0,0,0,1,1
39,1969,0,0,0,0,0,0,0,0,0,0,0,0,0,48
40,1969,2,0,0,0,0,0,0,0,0,0,0,5,1,8
41,1959,0,0,0,0,0,0,0,0,0,0,0,0,0,18
42,1969,0,0,0,0,0,0,0,0,0,0,0,0,0,28
43,1969,0,0,0,0,0,0,0,0,0,0,0,0,0,19
44,1969,0,0,0,0,0,0,0,0,0,0,0,0,0,48
45,1964,1,0,0,0,0,1,0,0,0,0,0,0,0,8
46,1964,2,0,0,0,0,0,0,0,0,0,1,0,1,1
47,1959,2,0,0,0,1,0,0,0,0,0,0,6,1,1
48,1969,0,0,0,0,0,0,0,0,1,1,0,0,0,47
49,1964,0,0,0,0,0,0,0,0,0,0,0,0,1,14
50,1969,0,0,0,0,0,0,0,0,0,0,0,0,0,20
51,1969,0,0,0,0,0,0,0,0,0,0,0,0,0,48
52,1954,1,0,0,0,0,0,0,0,0,0,0,0,0,28
53,1959,2,0,0,1,1,1,0,1,0,0,0,10,1,1
54,1969,0,0,0,0,0,0,0,0,0,0,0,0,1,48
55,1969,1,1,0,0,0,0,0,1,0,1,0,3,1,3
56,1969,0,0,0,0,0,0,0,0,0,0,0,0,0,48
57,1959,0,0,0,0,0,0,0,0,0,0,0,0,1,27
